jha2eiMFP7A_S4386_E4534, 1080, 1920, 4386, 4534, 499, 0, 1684, 1067
Fb1JkZW1VfY_S5140_E5364, 1080, 1920, 5140, 5364, 550, 0, 1709, 1080
ISoh38vR6_Y_S3615_E3728, 1080, 1920, 3615, 3728, 601, 0, 1454, 900
746yPBlslVk_S1928_E2034, 1080, 1920, 1928, 2034, 415, 0, 1462, 968
dvDJBXu_eRQ_S4488_E4600, 1080, 1920, 4488, 4600, 377, 0, 1524, 1065
4FKEhPEreMU_S18530_E18649, 1080, 1920, 18530, 18649, 784, 62, 1577, 934
XP4epRylx8M_S15_E181, 1080, 1920, 15, 181, 189, 0, 1309, 1055
aoZyhj2zc44_S17210_E17754, 1080, 1910, 17210, 17754, 393, 0, 1680, 1080
4VJ6slxh-DU_S16095_E16464, 1080, 1920, 16095, 16464, 148, 0, 949, 791
tE1mwD1uGiA_S2058_E2314, 1080, 1920, 2058, 2314, 486, 0, 1419, 927
fz6EmD7zz6c_S37705_E37879, 1080, 1920, 37705, 37879, 578, 0, 1472, 935
0ufAYskIGmY_S6266_E6380, 2160, 3840, 6266, 6380, 1629, 0, 3066, 1453
gEUXRtVUzGU_S1476_E1586, 1080, 1920, 1476, 1586, 486, 0, 1650, 1076
qVCXokjZZfA_S44206_E44309, 1080, 1920, 44206, 44309, 576, 0, 1324, 737
2kHUA-Zma1U_S16406_E16555, 1080, 1920, 16406, 16555, 445, 0, 1349, 952
cGrotmGpN30_S78031_E78161, 1080, 1920, 78031, 78161, 379, 0, 1353, 1032
8kDKChrPNxM_S16980_E17174, 1080, 1920, 16980, 17174, 609, 0, 1642, 1048
F2_2mTguqlc_S6850_E7102, 1080, 1920, 6850, 7102, 305, 0, 1168, 869
oFvB-1XKlmE_S2260_E2444, 1080, 1920, 2260, 2444, 406, 0, 1397, 990
DfFL_YJ7fM0_S3631_E3829, 1080, 1920, 3631, 3829, 643, 0, 1534, 930
Jl5tq1Cm8ns_S6067_E6188, 1080, 1920, 6067, 6188, 703, 0, 1920, 1080
FIIQG_w19Tg_S438_E1002, 1080, 1920, 438, 1002, 333, 0, 1527, 1080
sFYQ5hLdNdM_S17061_E17287, 1080, 1920, 17061, 17287, 579, 0, 1662, 1078
-XAmfuEQQvs_S9046_E9154, 1080, 1920, 9046, 9154, 323, 0, 1344, 1080
bZ-jDv0C8yo_S22837_E23401, 1080, 1920, 22837, 23401, 276, 0, 1461, 1080
